fid	dist	x	y	value_s
1	95.0	77769.80085188996	74762.24560897377	{1: 253.2324981689453}
1	96.0	77770.07159833652	74763.20825966934	{1: 248.97482299804688}
1	97.0	77770.34234478309	74764.1709103649	{1: 244.5685577392578}
1	98.0	77770.61309122964	74765.13356106046	{1: 243.34286499023438}
1	99.0	77770.8838376762	74766.09621175603	{1: 243.025390625}
1	100.0	77771.15458412276	74767.0588624516	{1: 242.96273803710938}
1	101.0	77771.42533056933	74768.02151314716	{1: 242.99534606933594}
1	102.0	77771.69607701589	74768.98416384273	{1: 242.99534606933594}
1	103.0	77771.96682346244	74769.9468145383	{1: 243.0819091796875}
1	104.0	77772.237569909	74770.90946523387	{1: 243.6598663330078}
1	105.0	77772.50831635557	74771.87211592944	{1: 244.18666076660156}
1	106.0	77772.77906280213	74772.83476662499	{1: 244.50265502929688}
1	107.0	77773.0498092487	74773.79741732056	{1: 245.9008026123047}
1	108.0	77773.32055569526	74774.76006801613	{1: 245.47828674316406}
1	109.0	77773.59130214181	74775.7227187117	{1: 246.08657836914062}
1	110.0	77773.86204858837	74776.68536940726	{1: 248.3165740966797}
1	111.0	77774.13279503494	74777.64802010283	{1: 249.55999755859375}
1	112.0	77774.4035414815	74778.6106707984	{1: 249.18499755859375}
1	113.0	77774.67428792806	74779.57332149395	{1: 249.54000854492188}
1	114.0	77774.94503437461	74780.53597218952	{1: 251.06500244140625}
1	115.0	77775.21578082118	74781.49862288509	{1: 251.10000610351562}
1	116.0	77775.48652726774	74782.46127358066	{1: 251.22000122070312}
1	117.0	77775.7572737143	74783.42392427623	{1: 251.03250122070312}
1	118.0	77776.02802016087	74784.3865749718	{1: 253.99642944335938}
1	119.0	77776.29876660742	74785.34922566736	{1: 256.385009765625}
1	120.0	77776.56951305398	74786.31187636293	{1: 256.97943115234375}
1	121.0	77776.84025950055	74787.27452705849	{1: 258.0544128417969}
1	122.0	77777.11100594711	74788.23717775405	{1: 259.8625183105469}
1	123.0	77777.38175239367	74789.19982844962	{1: 259.8450012207031}
1	124.0	77777.65249884022	74790.16247914519	{1: 260.364990234375}
1	125.0	77777.92324528679	74791.12512984076	{1: 260.8125}
1	126.0	77778.19399173335	74792.08778053633	{1: 261.9649963378906}
1	127.0	77778.46473817992	74793.0504312319	{1: 261.197509765625}
1	128.0	77778.73548462648	74794.01308192746	{1: 253.91249084472656}
1	129.0	77779.00623107304	74794.97573262302	{1: 257.2749938964844}
1	130.0	77779.27697751959	74795.93838331859	{1: 250.05999755859375}
1	131.0	77779.54772396616	74796.90103401415	{1: 246.34249877929688}
1	132.0	77779.81847041272	74797.86368470972	{1: 246.36000061035156}
1	133.0	77780.08921685928	74798.82633540529	{1: 246.36749267578125}
1	134.0	77780.35996330585	74799.78898610086	{1: 246.3800048828125}
1	135.0	77780.6307097524	74800.75163679643	{1: 246.40000915527344}
1	136.0	77780.90145619896	74801.714287492	{1: 246.41250610351562}
1	137.0	77781.17220264552	74802.67693818755	{1: 246.66000366210938}
1	138.0	77781.44294909209	74803.63958888312	{1: 246.9499969482422}
1	139.0	77781.71369553865	74804.60223957869	{1: 247.16751098632812}
1	140.0	77781.9844419852	74805.56489027425	{1: 247.53250122070312}
1	141.0	77782.25518843177	74806.52754096982	{1: 246.72499084472656}
1	142.0	77782.52593487833	74807.49019166539	{1: 246.79750061035156}
1	143.0	77782.7966813249	74808.45284236096	{1: 247.0749969482422}
1	144.0	77783.06742777146	74809.41549305653	{1: 246.59249877929688}
1	145.0	77783.33817421802	74810.37814375208	{1: 246.61500549316406}
1	146.0	77783.60892066457	74811.34079444765	{1: 246.62750244140625}
1	147.0	77783.87966711113	74812.30344514322	{1: 246.84249877929688}
1	148.0	77784.1504135577	74813.26609583879	{1: 246.6699981689453}
1	149.0	77784.42116000426	74814.22874653435	{1: 246.6875}
1	150.0	77784.69190645083	74815.19139722992	{1: 246.69749450683594}
1	151.0	77784.96265289737	74816.15404792549	{1: 246.7050018310547}
1	152.0	77785.23339934394	74817.11669862104	{1: 246.73500061035156}
1	153.0	77785.5041457905	74818.07934931661	{1: 246.7624969482422}
1	154.0	77785.77489223707	74819.04200001218	{1: 246.78250122070312}
1	155.0	77786.04563868363	74820.00465070775	{1: 246.8199920654297}
1	156.0	77786.31638513018	74820.96730140332	{1: 246.8199920654297}
1	157.0	77786.58713157674	74821.92995209889	{1: 247.55999755859375}
1	158.0	77786.85787802331	74822.89260279445	{1: 248.3300018310547}
1	159.0	77787.12862446987	74823.85525349002	{1: 247.6425018310547}
1	160.0	77787.39937091644	74824.81790418558	{1: 247.77000427246094}
1	161.0	77787.67011736298	74825.78055488114	{1: 248.2324981689453}
1	162.0	77787.94086380955	74826.74320557671	{1: 248.52999877929688}
1	163.0	77788.21161025611	74827.70585627228	{1: 250.72499084472656}
1	164.0	77788.48235670268	74828.66850696785	{1: 248.39500427246094}
1	165.0	77788.75310314924	74829.63115766342	{1: 248.41751098632812}
1	166.0	77789.0238495958	74830.59380835899	{1: 251.5050048828125}
1	167.0	77789.29459604235	74831.55645905455	{1: 248.72999572753906}
1	168.0	77789.56534248892	74832.51910975011	{1: 247.15499877929688}
1	169.0	77789.83608893548	74833.48176044568	{1: 247.1899871826172}
1	170.0	77790.10683538204	74834.44441114124	{1: 247.34999084472656}
1	171.0	77790.37758182861	74835.40706183681	{1: 247.3824920654297}
1	172.0	77790.64832827516	74836.36971253238	{1: 247.4199981689453}
1	173.0	77790.91907472172	74837.33236322795	{1: 247.4425048828125}
1	174.0	77791.18982116829	74838.29501392352	{1: 247.47750854492188}
1	175.0	77791.46056761485	74839.25766461909	{1: 247.4875030517578}
1	176.0	77791.73131406141	74840.22031531464	{1: 247.4949951171875}
1	177.0	77792.00206050796	74841.18296601021	{1: 247.52749633789062}
1	178.0	77792.27280695453	74842.14561670578	{1: 247.54249572753906}
1	179.0	77792.54355340109	74843.10826740135	{1: 247.57000732421875}
1	180.0	77792.81429984765	74844.07091809691	{1: 247.59500122070312}
1	181.0	77793.08504629422	74845.03356879248	{1: 247.63250732421875}
1	182.0	77793.35579274078	74845.99621948805	{1: 247.63250732421875}
1	183.0	77793.62653918733	74846.95887018362	{1: 247.65750122070312}
1	184.0	77793.8972856339	74847.92152087917	{1: 247.66249084472656}
1	185.0	77794.16803208046	74848.88417157474	{1: 247.74249267578125}
1	186.0	77794.43877852702	74849.84682227031	{1: 248.08250427246094}
1	187.0	77794.70952497359	74850.80947296588	{1: 248.71499633789062}
1	188.0	77794.98027142014	74851.77212366145	{1: 249.42999267578125}
1	189.0	77795.2510178667	74852.73477435701	{1: 250.7012481689453}
1	190.0	77795.52176431326	74853.69742505258	{1: 252.7802276611328}
1	191.0	77795.79251075983	74854.66007574814	{1: 259.6414794921875}
1	192.0	77796.06325720639	74855.6227264437	{1: 264.8424987792969}
1	193.0	77796.33400365294	74856.58537713927	{1: 264.5975036621094}
1	194.0	77796.6047500995	74857.54802783484	{1: 268.2124938964844}
1	195.0	77796.87549654607	74858.51067853041	{1: 276.9725036621094}
1	196.0	77797.14624299263	74859.47332922598	{1: 274.7124938964844}
1	197.0	77797.4169894392	74860.43597992155	{1: 279.2649841308594}
1	198.0	77797.68773588575	74861.39863061711	{1: 283.4775085449219}
1	199.0	77797.95848233231	74862.36128131267	{1: 284.0325012207031}
